time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours
2021-01-01,66.1,55.4,0.810,0.810,0.00,15.0
2021-01-02,62.6,46.8,0.000,0.000,0.00,0.0
2021-01-03,51.6,37.1,0.000,0.000,0.00,0.0
2021-01-04,54.5,33.3,0.000,0.000,0.00,0.0
2021-01-05,53.5,37.8,0.010,0.010,0.00,1.0
2021-01-06,51.1,29.3,0.000,0.000,0.00,0.0
2021-01-07,44.9,35.7,0.350,0.350,0.00,11.0
2021-01-08,41.8,35.6,0.180,0.180,0.00,12.0
2021-01-09,42.5,30.5,0.000,0.000,0.00,0.0
2021-01-10,46.3,25.4,0.000,0.000,0.00,0.0
2021-01-11,43.5,36.4,0.370,0.370,0.00,17.0
2021-01-12,44.5,34.4,0.000,0.000,0.00,0.0
2021-01-13,49.8,29.5,0.040,0.040,0.00,3.0
2021-01-14,53.5,29.1,0.000,0.000,0.00,0.0
2021-01-15,51.3,35.6,0.020,0.020,0.00,2.0
2021-01-16,41.3,32.1,0.000,0.000,0.00,0.0
2021-01-17,49.6,30.5,0.000,0.000,0.00,0.0
2021-01-18,50.9,32.3,0.000,0.000,0.00,0.0
2021-01-19,57.8,30.2,0.000,0.000,0.00,0.0
2021-01-20,52.2,40.0,0.000,0.000,0.00,0.0
2021-01-21,51.7,41.1,0.160,0.160,0.00,9.0
2021-01-22,55.7,39.7,0.000,0.000,0.00,1.0
2021-01-23,56.2,34.0,0.000,0.000,0.00,0.0
2021-01-24,57.6,39.2,0.150,0.150,0.00,6.0
2021-01-25,65.0,50.9,0.120,0.120,0.00,9.0
2021-01-26,66.0,51.2,0.670,0.670,0.00,7.0
2021-01-27,59.9,40.2,0.310,0.310,0.00,14.0
2021-01-28,44.7,31.1,0.000,0.000,0.00,0.0
2021-01-29,49.3,28.0,0.000,0.000,0.00,0.0
2021-01-30,48.5,28.5,0.000,0.000,0.00,0.0
2021-01-31,52.7,41.5,0.790,0.790,0.00,13.0
2021-02-01,41.2,33.9,0.000,0.000,0.00,0.0
2021-02-02,43.2,30.4,0.000,0.000,0.00,0.0
2021-02-03,46.2,26.9,0.000,0.000,0.00,0.0
2021-02-04,49.8,25.9,0.030,0.030,0.00,1.0
2021-02-05,51.0,33.7,0.160,0.160,0.00,6.0
2021-02-06,46.2,31.2,0.380,0.360,0.35,10.0
2021-02-07,48.5,32.0,0.100,0.100,0.00,7.0
2021-02-08,55.9,29.5,0.000,0.000,0.00,0.0
2021-02-09,62.9,44.6,0.010,0.010,0.00,1.0
2021-02-10,66.2,39.7,0.000,0.000,0.00,0.0
2021-02-11,61.6,48.3,0.620,0.620,0.00,15.0
